text,created_at,id
"Today, the Federal Trade Commission is answering my call to lower costs and promote competition by banning hidden junk fees when you book a hotel or purchase event tickets.

This builds on my work to ban junk fees and lower costs – saving many families hundreds each year.",2024-12-17 19:45:00+00:00,1869106540881313820
"On March 25th, 1911, the Triangle Shirtwaist Factory fire ignited a passion inside of Frances Perkins.

She would go on to dedicate her life to lifting the lives of working people – becoming the first woman Cabinet Secretary and longest-serving Secretary of Labor in history.… https://t.co/LR8Ps47VoJ https://t.co/zjqeur2VZi",2024-12-17 15:56:43+00:00,1869049090203328709
I’m proud we will be known as the most pro-labor Administration in American history. https://t.co/XIBfABKPKU,2024-12-17 14:30:03+00:00,1869027280145518739
Join the First Lady and me as we host a Hanukkah Holiday Reception. https://t.co/eKGdoqHUod,2024-12-17 01:04:21+00:00,1868824521609789950
"Today, families in Madison, Wisconsin are grieving the loss of those who were killed and wounded at Abundant Life Christian School.

It’s shocking and unconscionable.

We need Congress to act. Now.",2024-12-16 23:46:52+00:00,1868805021988438202
"Last week, I met virtually with G7 Leaders to discuss how our coalition has transformed over the past four years.
 
From addressing COVID and mounting a response to Russia’s invasion of Ukraine to delivering on a new infrastructure partnership –
 
We're more united than ever. https://t.co/xgP8qmSX8S",2024-12-16 19:15:03+00:00,1868736615180300641
"Over the last four years, my Administration has worked hard to lay the foundations for a promising new chapter in our American comeback story.

I wrote about it here, take a look: https://t.co/G9AG4tVqNv https://t.co/udl1PcDqMc",2024-12-16 18:39:29+00:00,1868727667358679098
Join me and Acting Secretary of Labor Julie Su for an event at the Department of Labor to honor our nation’s labor history and my Administration’s work to strengthen America’s workforce. https://t.co/VXdKO7ksmI,2024-12-16 17:22:15+00:00,1868708230110568560
"America can be summed up in one word: Possibilities.

That’s what our Initiative on Women’s Health Research is all about.

Unleashing the drive and discovery inherent in us, taking steps to make our dreams real, and holding on to one thing we can never lose – hope.",2024-12-15 22:00:00+00:00,1868415739079582019
"Folks, there's an actual bank CEO who named his boat ""Overdraft."" I can't make this stuff up.

It's because, for too long, overdraft fees have been cash cows for big banks. 

My new rule finally curbs those excessive fees.",2024-12-15 19:00:25+00:00,1868370545802195229
"Exorbitant overdraft fees charged by big banks – sometimes $30 or more – hit vulnerable Americans the hardest.

My new rule is capping them to as little as $5. https://t.co/ODnuhWAKdL",2024-12-15 18:19:48+00:00,1868360322781724707
"I led the fight to ban them in 1994, and it can be done again. https://t.co/daeZOdHInw",2024-12-14 18:05:42+00:00,1867994389336731909
"Twelve years ago today, the community of Newtown, Connecticut, and the entire nation were forever changed when 20 innocent children and six brave educators were gunned down at Sandy Hook Elementary School by a single individual armed with a weapon of war.

Jill and I still… https://t.co/xTNXsjSjvS",2024-12-14 15:45:49+00:00,1867959187080146999
"Two years ago, I signed into law the Respect for Marriage Act, a landmark civil rights bill that protects all couples – all love – under law.
 
Because there are few things as clear and right as marriage equality. https://t.co/OAWy7qvQoa",2024-12-13 22:30:10+00:00,1867698557349691569
"With the partnership and friendship of Indigenous leaders, my Administration has made investments in Indian Country that will reverberate for generations to come.

A new era of Tribal sovereignty has begun. https://t.co/8ICsX2shXZ",2024-12-13 19:00:00+00:00,1867645666379305257
"All told, my Investing in America agenda marks the most significant investment in America since the New Deal. https://t.co/tgZt56bdy3",2024-12-13 17:30:17+00:00,1867623087207772463
"Happy Birthday, @USNationalGuard! https://t.co/hMIE5TJF3F",2024-12-13 16:44:38+00:00,1867611597776077208
"The very idea of America is that we are all created equal and deserve to be treated equally throughout our lives.
 
This Strategy is a historic step forward to live up to our ideals. Let us walk forward together, upholding those ideals and advancing our collective prosperity. https://t.co/2S0ISA7hJC",2024-12-12 22:23:56+00:00,1867334599119909171
"I’ve always believed that our nation is at its best when there are endless possibilities for all women and girls.

That includes investing in their health.",2024-12-12 19:00:00+00:00,1867283277037338661
"On my first day as your president, America rejoined the Paris Agreement because I understood we didn't have a minute to waste tackling the climate crisis.

That is still true today.

Today, we celebrate 9 years of global climate progress under that historic commitment.",2024-12-12 18:41:24+00:00,1867278595590123888
"Today, I’m pardoning 39 people with non-violent crimes who have demonstrated remorse and rehabilitation, and I’m commuting the sentences of nearly 1,500 others – many of whom would have received lower sentences today.
 
America was built on second chances. That's what these… https://t.co/t0Z8M4TPuX https://t.co/OigPcN8qkJ",2024-12-12 13:41:31+00:00,1867203129038537126
"There’s never been a more comprehensive government effort to spur innovation in women’s health research.

The White House Initiative on Women’s Health Research has laid the groundwork for generations to come.

And the women and allies who joined us today are leading the way. https://t.co/zFZSoCuVKw",2024-12-11 22:30:00+00:00,1866973737884504467
"The health of our moms, grandmothers, sisters, daughters, friends, and colleagues affects not just women but the prosperity of our entire nation.

And I’m so proud that we’ve secured nearly $1 billion so far for women’s health research from across the federal government. https://t.co/A6qvRWdYBw",2024-12-11 21:54:34+00:00,1866964822333559010
"A pioneering poet of the Black Arts Movement and the Civil Rights era, Nikki Giovanni used her pen to advance racial and gender equality and confront violence, hate and injustice.

Jill and I send our love and condolences to her family and all those who loved and admired her… https://t.co/8Od2LZA4Z2",2024-12-11 18:50:11+00:00,1866918419440005120
Join Jill and me as we host the White House Conference on Women’s Health Research. https://t.co/bNQ0Sb6BZ6,2024-12-11 16:42:20+00:00,1866886245298712906
"I believe the only way for a president to lead America is to lead all of America.
 
And I believe the economy I am leaving America is the best in the world and stronger than ever for all Americans.",2024-12-11 13:00:00+00:00,1866830294520652191
There is no country on Earth better positioned to lead the world in the years to come than America today.,2024-12-10 23:30:00+00:00,1866626450348028300
"Most economists agree the new administration will inherit the strongest economy in the world.
 
It is my hope they will preserve and build on this progress.
 
Like most great economic developments, this one is neither red nor blue.
 
It’s American progress. https://t.co/kHJeQxdA4A",2024-12-10 22:54:52+00:00,1866617606171431106
"Tune in as I deliver remarks on my middle-out, bottom-up economic playbook at the Brookings Institution. https://t.co/YwnmrTNvPf",2024-12-10 17:40:12+00:00,1866538420790525954
"Yesterday, I spoke with King Abdullah II of Jordan to emphasize my full support for a Syrian-led transition process as well the Defeat-ISIS mission, including the strikes our military conducted Sunday against a concentration of ISIS fighters and leaders in Syria.

We agreed to… https://t.co/FW1Tvnqw7j",2024-12-10 17:35:34+00:00,1866537254006517805
"During my final Tribal Nations Summit, I took another step towards healing by designating the Carlisle Federal Indian Boarding School National Monument.

This is the first off-reservation boarding school that Native children were taken to.

We don’t erase history – we learn it.",2024-12-10 16:50:00+00:00,1866525786007572814
"From day one, my Administration has worked to include Indigenous voices in all we do.

With the help of Secretary Haaland and the more than 80 Native Americans serving as leaders in my Administration, we've shaped our approach to Indian Country.

We’ve matched words with action. https://t.co/2fuRF6xzXO",2024-12-10 16:25:01+00:00,1866519497533759942
"It has been the honor of a lifetime to usher in a new era of Tribal sovereignty and self-determination. 

A new era grounded in dignity and respect.

To every Tribal Leader who has offered their partnership: Thank you for always believing in the possibilities of our nations. https://t.co/r2Hs845yaY",2024-12-10 15:55:02+00:00,1866511954078007794
I’ve fought my entire career to make sure every American has a chance. https://t.co/EE20hGXlvL,2024-12-10 15:30:17+00:00,1866505724982927721
Tune in as I deliver remarks at the 2024 White House Tribal Nations Summit. https://t.co/ki5lcgO1pE,2024-12-09 20:50:28+00:00,1866223913367158949
"Last night, for the final time, Jill and I were honored to recognize and respect the power of the arts to literally redeem the soul of our nation.
 
Congratulations to our 2024 Kennedy Center Honorees. https://t.co/sIACEr05GC",2024-12-09 17:51:48+00:00,1866178951531393086
Congratulations to @LAGalaxy for winning the MLS Cup for a record sixth time and remaining undefeated at home this season! https://t.co/xbAK1oMPEy,2024-12-09 14:26:05+00:00,1866127181736251788
"This is the best opportunity in generations for Syrians to forge their own future – free of opposition. 

It’s also an opportunity for a more secure and prosperous Middle East – where our friends are safe and our enemies are contained.",2024-12-09 00:36:01+00:00,1865918287919403512
"New opportunities are now opening up for the people of Syria and for the entire region.

Looking ahead, the United States will do the following.

First, we will engage with Syrian groups – including within the process led by the United Nations – to establish the transition away… https://t.co/JENgmG3D7Z",2024-12-09 00:00:01+00:00,1865909229279732174
"At long last, the Assad regime has fallen.

The fall of this regime is a fundamental act of justice. 

It is a moment of historic opportunity for the long-suffering people of Syria to build a better future for their country. 

It is also a moment of risk and uncertainty.",2024-12-08 22:44:24+00:00,1865890196920701247
Join me as I deliver remarks at the Kennedy Center Honors reception. https://t.co/gD3WK8lYf7,2024-12-08 22:02:41+00:00,1865879698271523259
Join me as I deliver remarks on the latest developments in Syria. https://t.co/mun5CjRiSs,2024-12-08 18:39:42+00:00,1865828619374788696
The American comeback continues. https://t.co/1SmbhquWsv,2024-12-08 16:00:00+00:00,1865788426714247384
"To bring down housing costs, we have to build, build, build.

And under my Administration, the rate of new housing starts is up 16% compared to the last administration.",2024-12-08 14:00:00+00:00,1865758230468575604
"While there is more to do to lower costs – we’ve taken action to lower prescription drug prices, health insurance premiums, utility bills, and gas prices that will pay dividends for years to come.",2024-12-07 18:00:00+00:00,1865456237359296834
"Today, we honor the brave Americans who perished at Pearl Harbor 83 years ago, and the service members who defended democracy and freedom in the days and years that followed.

In their memory, let us carry forward their mission of forging a better future for humankind. https://t.co/1daVTc4f2h",2024-12-07 14:00:00+00:00,1865395841667616956
"To fully consider how far the United States and Angola have come in our friendship, we have to remember how we began.

That's what great nations do. https://t.co/6QnkNOaqpS",2024-12-07 13:00:00+00:00,1865380742043140553
Join me as I deliver remarks honoring American veterans and their families on the eve of the 83rd Anniversary of the attack on Pearl Harbor. https://t.co/0TsI2LI2YW,2024-12-06 23:47:51+00:00,1865181388409823617
"Over the last four years, we’ve had the lowest average unemployment of any administration in 50 years.

This has been a hard-fought recovery, but we are making progress for working families.",2024-12-06 21:00:01+00:00,1865139151915422041
"Since I took office, the economy has created more than 16 million jobs, with jobs created every single month.",2024-12-06 18:00:01+00:00,1865093853256016036
"Today’s report shows that the economy created 227,000 jobs in November, as Boeing machinists returned to work with record wage gains, and hurricane recovery further progressed.

America’s comeback continues.",2024-12-06 17:00:01+00:00,1865078755112128668
"Africa’s success is and will be the world’s success.

The United States is all in on Africa’s future. https://t.co/ZuAK5S9ngc",2024-12-06 16:00:01+00:00,1865063654363668620
"Tonight, just outside of the White House, we illuminated the National Christmas Tree – a single spruce that embodies this season of peace and light.

The peace we feel as we reflect on our blessings.

The light we see as we gather with loved ones and cherish our time together. https://t.co/uRT1FO4KYA",2024-12-06 03:31:55+00:00,1864875391028003129
Tune in as I participate in the National Christmas Tree Lighting alongside the Vice President and Second Gentleman. https://t.co/7p6Z6XdPU3,2024-12-05 23:15:25+00:00,1864810841322692938
"Two years ago, I pledged to deliver $55 billion in new investments in Africa and to mobilize American businesses to close new deals with African partners.
 
Today, we're out way ahead of schedule, delivering more than $40 billion in investments thus far.",2024-12-05 19:55:00+00:00,1864760405781774672
"African leaders and citizens are seeking more than just aid.
 
They seek investment.
 
We understand that and that is why we are expanding our relationships across Africa – moving from patrons to partners to help bridge the infrastructure gap. https://t.co/LDVZkOiOon",2024-12-05 19:25:13+00:00,1864752910581510546
"The United States understands how we invest in Africa is as important as how much we invest.

We seek a better way: transparent, high-standard, open-access investments that protect workers and the rule of law and the environment.
 
It can be done and will be done.",2024-12-05 19:02:55+00:00,1864747294655938729
"The Lobito Trans-Africa Corridor represents the right way to invest in partnership with countries and people.

As a part of this project, in Angola, we will install clean energy infrastructure to power hundreds of thousands of homes and expand high-speed Internet for millions. https://t.co/DiG331LMwd",2024-12-05 19:02:53+00:00,1864747289379524654
"The people of Asheville haven’t just kept the faith following the unthinkable – they’ve spread it.
 
I gave some of those folks a call to offer my sincerest thanks. https://t.co/E5HW2FUxD3",2024-12-05 16:35:22+00:00,1864710162780389626
"The Lobito Port Terminal I toured today marks the start of the Lobito Trans-Africa Corridor – a bridge between the Atlantic and the Indian Ocean, and a global hub for goods that communities rely on.

It represents endless possibilities for the people of Angola and the region. https://t.co/EM2dFMmgEF",2024-12-04 22:22:50+00:00,1864435220109217916
"I mean it from the bottom of my heart: The future of the world is in Africa.

The United States is proud to be Angola's partner in writing that future. https://t.co/KkPiwng2rY",2024-12-04 20:00:40+00:00,1864399441454674002
"I know the fight to end the HIV/AIDS epidemic is hard.
 
But I know it’s one we’ll win. https://t.co/BqqhhkGsba",2024-12-04 15:45:01+00:00,1864335104115356102
